失蹤人口統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,單位：人
,總   計,,男,,女,,幼童,,,,"兒童
(含幼童)",,,,少年,,,,青年,,,,"成年
(含老人)",,,,老人,,,
,,,,,,,男,,女,,男,,女,,男,,女,,男,,女,,男,,女,,男,,女,
,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數
 八十四年 ," 26,257 "," 24,394 "," 9,392 "," 8,695 "," 16,865 "," 15,699 ", 202 , 187 , 158 , 136 , 732 , 715 , 412 , 376 ," 3,242 "," 3,140 "," 8,285 "," 7,951 "," 1,056 "," 1,015 "," 2,664 "," 2,529 "," 4,362 "," 3,825 "," 5,504 "," 4,843 ", - , - , - , - 
 八十五年 ," 28,074 "," 28,583 "," 9,436 "," 9,680 "," 18,638 "," 18,903 ", 248 , 222 , 222 , 217 , 726 , 703 , 508 , 494 ," 3,177 "," 3,288 "," 8,853 "," 9,068 "," 1,013 "," 1,075 "," 3,008 "," 3,093 "," 4,520 "," 4,614 "," 6,269 "," 6,248 ", - , - , - , - 
 八十六年 ," 29,990 "," 31,017 "," 9,999 "," 10,229 "," 19,991 "," 20,788 ", 231 , 241 , 260 , 250 , 674 , 704 , 520 , 521 ," 3,119 "," 3,174 "," 8,823 "," 9,114 "," 1,061 "," 1,088 "," 3,519 "," 3,671 "," 5,145 "," 5,263 "," 7,129 "," 7,482 ", - , - , - , - 
 八十七年 ," 31,512 "," 29,776 "," 11,015 "," 10,284 "," 20,497 "," 19,492 ", 282 , 239 , 249 , 210 , 718 , 655 , 507 , 464 ," 3,717 "," 3,543 "," 9,449 "," 9,177 "," 1,298 "," 1,213 "," 3,748 "," 3,582 "," 5,282 "," 4,873 "," 6,793 "," 6,269 ", - , - , - , - 
88年," 32,084 "," 34,938 "," 11,436 "," 12,707 "," 20,648 "," 22,231 ", 344 , 323 , 284 , 273 , 835 , 844 , 600 , 605 ," 3,439 "," 3,700 "," 9,002 "," 9,376 "," 1,375 "," 1,580 "," 3,982 "," 4,166 "," 5,787 "," 6,583 "," 7,064 "," 8,084 ", 235 , 216 , 120 , 114 
89年," 32,485 "," 31,744 "," 11,598 "," 11,446 "," 20,887 "," 20,298 ", 261 , 239 , 266 , 257 , 751 , 731 , 578 , 564 ," 3,679 "," 3,680 "," 9,361 "," 9,200 "," 1,478 "," 1,476 "," 4,074 "," 3,903 "," 5,690 "," 5,559 "," 6,874 "," 6,631 ", 648 , 577 , 286 , 277 
90年," 38,088 "," 37,198 "," 14,381 "," 13,877 "," 23,707 "," 23,321 ", 379 , 374 , 307 , 313 ," 1,074 "," 1,062 ", 691 , 698 ," 4,528 "," 4,491 "," 10,541 "," 10,584 "," 1,771 "," 1,723 "," 4,606 "," 4,468 "," 7,008 "," 6,601 "," 7,869 "," 7,571 ", 848 , 818 , 330 , 309 
91年," 36,437 "," 36,452 "," 14,052 "," 13,996 "," 22,385 "," 22,456 ", 366 , 344 , 356 , 339 ," 1,014 "," 1,000 ", 671 , 653 ," 4,150 "," 4,264 "," 9,645 "," 9,828 "," 1,817 "," 1,824 "," 4,494 "," 4,517 "," 7,071 "," 6,908 "," 7,575 "," 7,458 ", 803 , 815 , 362 , 343 
92年," 35,776 "," 38,504 "," 14,447 "," 15,377 "," 21,329 "," 23,127 ", 373 , 394 , 352 , 355 ," 1,052 "," 1,104 ", 641 , 665 ," 4,033 "," 4,154 "," 9,050 "," 9,438 "," 1,723 "," 1,810 "," 4,089 "," 4,432 "," 7,639 "," 8,309 "," 7,549 "," 8,592 ", 920 ," 1,001 ", 388 , 433 
93年," 34,007 "," 34,152 "," 13,792 "," 13,661 "," 20,215 "," 20,491 ", 379 , 362 , 328 , 335 ," 1,020 "," 1,007 ", 624 , 624 ," 3,785 "," 3,798 "," 8,865 "," 8,885 "," 1,588 "," 1,600 "," 3,621 "," 3,687 "," 7,399 "," 7,256 "," 7,105 "," 7,295 ", 906 , 908 , 482 , 477 
94年," 37,409 "," 36,771 "," 16,406 "," 16,107 "," 21,003 "," 20,664 ", 428 , 405 , 392 , 357 ," 1,165 "," 1,130 ", 740 , 711 ," 4,388 "," 4,342 "," 8,773 "," 8,655 "," 1,760 "," 1,734 "," 3,575 "," 3,588 "," 9,093 "," 8,901 "," 7,915 "," 7,710 "," 1,131 "," 1,157 ", 575 , 569 
95年," 35,980 "," 37,577 "," 16,020 "," 16,247 "," 19,960 "," 21,330 ", 416 , 396 , 395 , 364 ," 1,224 "," 1,231 ", 775 , 726 ," 4,341 "," 4,354 "," 7,680 "," 7,960 "," 1,477 "," 1,548 "," 3,218 "," 3,530 "," 8,978 "," 9,114 "," 8,287 "," 9,114 "," 1,133 "," 1,098 ", 661 , 655 
96年," 32,379 "," 32,259 "," 14,778 "," 14,712 "," 17,601 "," 17,547 ", 341 , 335 , 270 , 286 , 949 , 940 , 553 , 586 ," 3,795 "," 3,851 "," 6,450 "," 6,531 "," 1,475 "," 1,510 "," 2,828 "," 2,835 "," 8,559 "," 8,411 "," 7,770 "," 7,595 "," 1,372 "," 1,311 ", 701 , 682 
97年," 32,109 "," 31,085 "," 14,652 "," 14,025 "," 17,457 "," 17,060 ", 256 , 263 , 222 , 215 , 845 , 844 , 491 , 473 ," 3,673 "," 3,648 "," 6,328 "," 6,323 "," 1,368 "," 1,338 "," 2,781 "," 2,715 "," 8,766 "," 8,195 "," 7,857 "," 7,549 "," 1,654 "," 1,420 ", 809 , 752 
98年," 33,736 "," 34,432 "," 15,611 "," 15,805 "," 18,125 "," 18,627 ", 326 , 400 , 318 , 381 , 935 ," 1,031 ", 625 , 707 ," 3,731 "," 3,870 "," 6,234 "," 6,544 "," 1,460 "," 1,518 "," 2,661 "," 2,781 "," 9,485 "," 9,386 "," 8,605 "," 8,595 "," 1,835 "," 1,701 ", 950 , 942 
99年," 35,153 "," 35,411 "," 16,348 "," 16,300 "," 18,805 "," 19,111 ", 300 , 335 , 334 , 333 , 934 , 976 , 612 , 616 ," 4,298 "," 4,300 "," 6,669 "," 6,707 "," 1,524 "," 1,510 "," 2,806 "," 2,909 "," 9,592 "," 9,514 "," 8,718 "," 8,879 "," 2,066 "," 1,912 ", 893 , 899 
100年," 35,608 "," 37,556 "," 16,389 "," 16,964 "," 19,219 "," 20,592 ", 277 , 299 , 261 , 323 , 843 , 886 , 559 , 632 ," 4,309 "," 4,467 "," 7,312 "," 7,578 "," 1,552 "," 1,659 "," 2,788 "," 3,059 "," 9,685 "," 9,952 "," 8,560 "," 9,323 "," 2,475 "," 1,944 "," 1,125 "," 1,041 "
101年," 32,765 "," 33,452 "," 15,351 "," 15,441 "," 17,414 "," 18,011 ", 238 , 253 , 194 , 227 , 684 , 701 , 412 , 453 ," 3,690 "," 3,740 "," 6,554 "," 6,689 "," 1,454 "," 1,473 "," 2,412 "," 2,513 "," 9,523 "," 9,527 "," 8,036 "," 8,356 "," 2,301 "," 2,009 "," 1,152 "," 1,140 "
102年," 28,909 "," 29,462 "," 13,867 "," 13,968 "," 15,042 "," 15,494 ", 224 , 240 , 167 , 163 , 576 , 602 , 365 , 374 ," 2,941 "," 2,952 "," 5,307 "," 5,358 "," 1,424 "," 1,424 "," 2,045 "," 2,150 "," 8,926 "," 8,990 "," 7,325 "," 7,612 "," 2,211 "," 2,042 "," 1,092 "," 1,091 "
103年," 26,940 "," 27,137 "," 12,989 "," 13,013 "," 13,951 "," 14,124 ", 186 , 183 , 164 , 160 , 498 , 491 , 327 , 314 ," 2,732 "," 2,715 "," 4,840 "," 4,831 "," 1,336 "," 1,337 "," 1,903 "," 1,912 "," 8,423 "," 8,470 "," 6,881 "," 7,067 "," 2,070 "," 2,095 "," 1,095 "," 1,084 "
104年," 25,882 "," 26,870 "," 12,742 "," 13,207 "," 13,140 "," 13,663 ", 189 , 183 , 186 , 186 , 428 , 421 , 337 , 341 ," 2,596 "," 2,647 "," 4,146 "," 4,290 "," 1,374 "," 1,385 "," 1,777 "," 1,852 "," 8,344 "," 8,754 "," 6,880 "," 7,180 "," 1,995 "," 2,055 "," 1,199 "," 1,224 "
 新北市," 5,199"," 5,429"," 2,551"," 2,677"," 2,648"," 2,752", 40, 39, 41, 43, 93, 95, 73, 77, 561, 559, 872, 893, 299, 301, 327, 341," 1,598"," 1,722"," 1,376"," 1,441", 397, 433, 281, 289
 臺北市," 2,107"," 2,180"," 1,129"," 1,176", 978," 1,004", 13, 12, 20, 19, 29, 27, 32, 32, 143, 148, 232, 242, 93, 82, 103, 102, 864, 919, 611, 628, 314, 320, 168, 168
 桃園市," 2,995"," 3,010"," 1,475"," 1,478"," 1,520"," 1,532", 26, 24, 24, 21, 83, 79, 42, 40, 382, 403, 554, 577, 166, 163, 195, 203, 844, 833, 729, 712, 176, 164, 114, 109
 臺中市," 3,210"," 3,349"," 1,590"," 1,654"," 1,620"," 1,695", 27, 27, 24, 23, 51, 51, 46, 44, 362, 368, 562, 578, 217, 213, 225, 253, 960," 1,022", 787, 820, 223, 242, 115, 122
 臺南市," 1,656"," 1,724", 865, 904, 791, 820, 12, 15, 17, 17, 24, 27, 20, 20, 136, 148, 200, 206, 90, 89, 119, 118, 615, 640, 452, 476, 153, 146, 81, 84
 高雄市," 2,564"," 2,692"," 1,279"," 1,323"," 1,285"," 1,369", 16, 15, 9, 14, 39, 40, 19, 23, 253, 243, 381, 405, 138, 147, 182, 203, 849, 893, 703, 738, 203, 202, 122, 124
 臺灣省," 8,081"," 8,414"," 3,818"," 3,957"," 4,263"," 4,457", 53, 49, 50, 48, 107, 100, 104, 104, 758, 777," 1,340"," 1,384", 369, 387, 619, 625," 2,584"," 2,693"," 2,200"," 2,344", 524, 544, 312, 322
 宜蘭縣, 516, 543, 231, 241, 285, 302, 8, 3, 3, 4, 11, 5, 9, 10, 31, 34, 88, 93, 19, 20, 39, 38, 170, 182, 149, 161, 36, 41, 18, 21
 新竹縣, 652, 675, 286, 278, 366, 397, 2, 2, 7, 7, 8, 8, 11, 11, 66, 66, 148, 156, 41, 40, 59, 62, 171, 164, 148, 168, 34, 28, 13, 13
 苗栗縣, 727, 757, 350, 363, 377, 394, 5, 5, 4, 4, 8, 8, 6, 6, 98, 97, 120, 132, 36, 38, 42, 45, 208, 220, 209, 211, 37, 36, 30, 27
 彰化縣," 1,366"," 1,401", 695, 710, 671, 691, 1, 3, 8, 6, 4, 6, 19, 17, 107, 107, 180, 176, 65, 71, 94, 91, 519, 526, 378, 407, 104, 100, 65, 67
 南投縣, 569, 613, 277, 299, 292, 314, 4, 8, 4, 4, 10, 14, 7, 9, 63, 64, 93, 102, 25, 26, 39, 37, 179, 195, 153, 166, 38, 39, 20, 21
 雲林縣, 763, 823, 344, 368, 419, 455, 6, 4, 5, 4, 7, 5, 11, 10, 54, 58, 96, 91, 23, 23, 63, 65, 260, 282, 249, 289, 50, 57, 45, 50
 嘉義縣, 581, 561, 288, 266, 293, 295, 6, 4, 2, 2, 13, 11, 2, 2, 41, 41, 67, 65, 27, 26, 47, 50, 207, 188, 177, 178, 47, 42, 27, 26
 屏東縣, 759, 823, 352, 393, 407, 430, 2, 1, 6, 7, 5, 4, 10, 11, 65, 71, 94, 104, 31, 32, 78, 75, 251, 286, 225, 240, 38, 38, 27, 28
 臺東縣, 354, 355, 175, 176, 179, 179, 7, 5, 2, -, 10, 8, 5, 3, 43, 45, 67, 66, 15, 18, 36, 30, 107, 105, 71, 80, 20, 20, 7, 8
